prediction_date_utc,scored_date_utc,full_name,html_url,stars_at_prediction,stars_after_7d,delta_stars,breakout_threshold,breakout_actual,p_breakout_7d,brier_score,stars_pred_7d,abs_error_stars,model
2025-12-15,2025-12-22,zai-org/Open-AutoGLM,https://github.com/zai-org/Open-AutoGLM,15054,18609,3555,7527,0,0.9699,0.940706,35976,17367,heuristic_logistic_v1
2025-12-15,2025-12-22,assetnote/react2shell-scanner,https://github.com/assetnote/react2shell-scanner,2191,2294,103,1095,0,0.593,0.351649,3793,1499,heuristic_logistic_v1
2025-12-15,2025-12-22,HKUDS/Paper2Slides,https://github.com/HKUDS/Paper2Slides,1987,2431,444,993,0,0.9243,0.85433,4316,1885,heuristic_logistic_v1
2025-12-15,2025-12-22,mistralai/mistral-vibe,https://github.com/mistralai/mistral-vibe,1977,2249,272,988,0,0.8691,0.755335,4764,2515,heuristic_logistic_v1
2025-12-15,2025-12-22,byJoey/ech-wk,https://github.com/byJoey/ech-wk,1294,1497,203,647,0,0.8379,0.702076,2598,1101,heuristic_logistic_v1
2025-12-15,2025-12-22,msanft/CVE-2025-55182,https://github.com/msanft/CVE-2025-55182,1230,1278,48,615,0,0.6208,0.385393,2160,882,heuristic_logistic_v1
2025-12-15,2025-12-22,guhcostan/mac-cleaner-cli,https://github.com/guhcostan/mac-cleaner-cli,1194,1369,175,597,0,0.8114,0.65837,2188,819,heuristic_logistic_v1
2025-12-15,2025-12-22,PastKing/tgbot-verify,https://github.com/PastKing/tgbot-verify,1165,1420,255,582,0,0.8576,0.735478,2491,1071,heuristic_logistic_v1
2025-12-15,2025-12-22,gommzystudio/device-activity-tracker,https://github.com/gommzystudio/device-activity-tracker,998,1402,404,499,0,0.882,0.777924,2199,797,heuristic_logistic_v1
2025-12-15,2025-12-22,Alibaba-Quark/LiveAvatar,https://github.com/Alibaba-Quark/LiveAvatar,976,1149,173,488,0,0.7827,0.612619,1773,624,heuristic_logistic_v1
2025-12-15,2025-12-22,cporter202/API-mega-list,https://github.com/cporter202/API-mega-list,975,1580,605,487,1,0.7231,0.076674,2452,872,heuristic_logistic_v1
2025-12-15,2025-12-22,SawyerHood/dev-browser,https://github.com/SawyerHood/dev-browser,888,1381,493,444,1,0.7905,0.04389,1519,138,heuristic_logistic_v1
2025-12-15,2025-12-22,lachlan2k/React2Shell-CVE-2025-55182-original-poc,https://github.com/lachlan2k/React2Shell-CVE-2025-55182-original-poc,883,954,71,441,0,0.3894,0.151632,1521,567,heuristic_logistic_v1
2025-12-15,2025-12-22,eooce/Gla-deploy,https://github.com/eooce/Gla-deploy,858,1217,359,429,0,0.9355,0.87516,5233,4016,heuristic_logistic_v1
2025-12-15,2025-12-22,cporter202/scraping-apis-for-devs,https://github.com/cporter202/scraping-apis-for-devs,827,1109,282,413,0,0.812,0.659344,2455,1346,heuristic_logistic_v1
2025-12-15,2025-12-22,durable-streams/durable-streams,https://github.com/durable-streams/durable-streams,784,959,175,392,0,0.858,0.736164,1479,520,heuristic_logistic_v1
2025-12-15,2025-12-22,ejpir/CVE-2025-55182-research,https://github.com/ejpir/CVE-2025-55182-research,772,782,10,386,0,0.5933,0.352005,1317,535,heuristic_logistic_v1
2025-12-15,2025-12-22,TanShilongMario/PromptFill,https://github.com/TanShilongMario/PromptFill,695,935,240,347,0,0.7824,0.61215,1401,466,heuristic_logistic_v1
2025-12-15,2025-12-22,actionstatelabs/android-action-kernel,https://github.com/actionstatelabs/android-action-kernel,664,1197,533,332,1,0.899,0.010201,2265,1068,heuristic_logistic_v1
2025-12-15,2025-12-22,zai-org/GLM-TTS,https://github.com/zai-org/GLM-TTS,626,760,134,313,0,0.7641,0.583849,1229,469,heuristic_logistic_v1
2025-12-15,2025-12-22,typsusan-zzz/canvas-drawing-editor,https://github.com/typsusan-zzz/canvas-drawing-editor,615,547,-68,307,0,0.6395,0.40896,1333,786,heuristic_logistic_v1
2025-12-15,2025-12-22,tombcato/clash-ip-checker,https://github.com/tombcato/clash-ip-checker,608,812,204,304,0,0.9138,0.83503,2802,1990,heuristic_logistic_v1
